hex,rgb,mean_ms,stdev_ms,exact
#000000,0 0 0,0.000000,0.000000,false
#000080,0 0 128,0.000000,0.000000,false
#0000ff,0 0 255,0.000000,0.000000,false
#008000,0 128 0,0.000000,0.000000,false
#008080,0 128 128,0.000000,0.000000,false
#0080ff,0 128 255,0.000000,0.000000,false
#00ff00,0 255 0,0.003333,0.057639,false
#00ff80,0 255 128,0.000000,0.000000,false
#00ffff,0 255 255,0.000000,0.000000,false
#800000,128 0 0,0.000000,0.000000,false
#800080,128 0 128,0.003333,0.057639,false
#8000ff,128 0 255,0.000000,0.000000,false
#808000,128 128 0,0.000000,0.000000,false
#808080,128 128 128,0.000000,0.000000,false
#8080ff,128 128 255,0.000000,0.000000,false
#80ff00,128 255 0,0.000000,0.000000,false
#80ff80,128 255 128,0.000000,0.000000,false
#80ffff,128 255 255,0.000000,0.000000,false
#ff0000,255 0 0,0.000000,0.000000,false
#ff0080,255 0 128,0.036667,0.187942,true
#ff00ff,255 0 255,0.000000,0.000000,false
#ff8000,255 128 0,0.000000,0.000000,false
#ff8080,255 128 128,0.000000,0.000000,false
#ff80ff,255 128 255,0.000000,0.000000,false
#ffff00,255 255 0,0.000000,0.000000,false
#ffff80,255 255 128,0.000000,0.000000,false
#ffffff,255 255 255,0.000000,0.000000,false
